Title,Platform,Release_Date,Metascore,User_Score,Critic_Review_Count,User_Review_Count,Publisher,Genre,Rating,URL
Gnosia,"PlayStation Vita, Nintendo Switch, PC, Xbox Series X, Xbox One, PlayStation 5, PlayStation 4",2021-03-04,82,8.2,41,69,"Playism, Petit Depotto, Happinet",Visual Novel,T,https://www.metacritic.com/game/gnosia/
Loop Hero,"PC, Nintendo Switch, Xbox One, Xbox Series X, iOS (iPhone/iPad)",2021-03-04,82,7.6,63,299,Devolver Digital,RPG,Not Rated,https://www.metacritic.com/game/loop-hero/
Cyber Shadow,"Nintendo Switch, PC, PlayStation 4, Xbox One, PlayStation 5",2021-01-26,82,7.1,19,82,Yacht Club Games,2D Platformer,E10+,https://www.metacritic.com/game/cyber-shadow/
Umurangi Generation,"PC, Nintendo Switch, PlayStation 5, PlayStation 4, Xbox One",2021-06-05,81,6.5,14,11,"Playism, Serenity Forge, ORIGAME DIGITAL",First-Person Adventure,M,https://www.metacritic.com/game/umurangi-generation/
Final Fantasy VII Remake Intergrade: Episode INTERmission,PlayStation 5,2021-06-10,81,8.2,25,206,Square Enix,Action RPG,T,https://www.metacritic.com/game/final-fantasy-vii-remake-intergrade-episode/
Star Wars Pinball VR,"PC, PlayStation 4, Meta Quest",2021-04-29,81,7.0,12,5,Zen Studios,Pinball,Not Rated,https://www.metacritic.com/game/star-wars-pinball-vr/
GRIME,"PC, Xbox One, PlayStation 4, Xbox Series X, PlayStation 5, Nintendo Switch",2021-08-02,81,7.6,27,153,Akupara Games,Metroidvania,Not Rated,https://www.metacritic.com/game/grime/
Quake Remastered,"PC, PlayStation 5, Xbox Series X, Nintendo Switch, PlayStation 4, Xbox One",2021-08-19,81,8.2,8,73,Bethesda Softworks,FPS,Not Rated,https://www.metacritic.com/game/quake-remastered/
Rainbow Billy: The Curse of the Leviathan,"PC, Nintendo Switch, Xbox One, PlayStation 4",2021-10-05,81,6.9,8,15,Skybound Games,Action Adventure,Not Rated,https://www.metacritic.com/game/rainbow-billy-the-curse-of-the-leviathan/
The Kids We Were,"iOS (iPhone/iPad), Nintendo Switch, PC",2021-12-02,81,,9,0,"GAGEX Co.,Ltd.",Adventure,E,https://www.metacritic.com/game/the-kids-we-were/
Tails of Iron,"Xbox Series X, PC, Nintendo Switch, Xbox One, PlayStation 5, PlayStation 4",2021-09-17,81,7.6,13,152,United Label,Action RPG,T,https://www.metacritic.com/game/tails-of-iron/
Cotton Reboot!,"PC, PlayStation 4, Nintendo Switch",2021-07-20,81,7.3,11,16,"ININ Games, BEEP Shop, Strictly Limited Games",Horizontal Shoot-'Em-Up,E10+,https://www.metacritic.com/game/cotton-reboot/
Trials of Fire,"PC, Nintendo Switch",2021-04-09,81,6.5,17,17,Whatboy Games,Turn-Based Tactics,Not Rated,https://www.metacritic.com/game/trials-of-fire/
Everhood,"PC, Nintendo Switch",2021-03-04,81,7.6,15,68,"Surefire.Games, Foreign Gnomes",RPG,E10+,https://www.metacritic.com/game/everhood/
Fly Together!,Nintendo Switch,2021-04-29,81,,8,4,Northplay ApS,Tycoon,Not Rated,https://www.metacritic.com/game/fly-together/
Boomerang X,"PC, Nintendo Switch",2021-07-08,81,6.8,25,26,"DANG!, Devolver Digital",FPS,Not Rated,https://www.metacritic.com/game/boomerang-x/
Life is Strange: True Colors,"PC, PlayStation 5, Xbox Series X, Xbox One, PlayStation 4, Nintendo Switch",2021-09-10,81,6.9,71,689,Square Enix,Third-Person Adventure,M,https://www.metacritic.com/game/life-is-strange-true-colors/
Silicon Dreams,PC,2021-04-20,81,5.8,7,4,Clockwork Bird,First-Person Adventure,Not Rated,https://www.metacritic.com/game/silicon-dreams/
Okinawa Rush,"Nintendo Switch, Xbox One, PlayStation 4, PC",2021-10-28,81,7.2,9,10,"Pixelheart, VGNYsoft, No Gravity Games",2D Beat-'Em-Up,T,https://www.metacritic.com/game/okinawa-rush/
Dungeon Encounters,"PC, Nintendo Switch, PlayStation 4",2021-10-14,81,5.9,14,23,Square Enix,JRPG,E10+,https://www.metacritic.com/game/dungeon-encounters/
Happy Game,"Nintendo Switch, PC, iOS (iPhone/iPad)",2021-10-28,81,7.6,13,40,Amanita Design,Adventure,Not Rated,https://www.metacritic.com/game/happy-game/
The Legend of Tianding,"Nintendo Switch, PC, PlayStation 5, iOS (iPhone/iPad), PlayStation 4, Xbox Series X, Xbox One",2021-11-01,81,7.4,10,39,"Creative Games Computer Graphics Corporation, Neon Doctrine",2D Beat-'Em-Up,Not Rated,https://www.metacritic.com/game/the-legend-of-tianding/
The Legend of Zelda: Skyward Sword HD,Nintendo Switch,2021-07-16,81,7.6,111,1020,Nintendo,Open-World Action,E10+,https://www.metacritic.com/game/the-legend-of-zelda-skyward-sword-hd/
Littlewood,"PC, Nintendo Switch",2021-02-25,81,7.7,12,29,"SmashGames, Super Rare Games",Adventure,E,https://www.metacritic.com/game/littlewood/
Monster Hunter Stories 2: Wings of Ruin,"Nintendo Switch, PC, PlayStation 4, Xbox One, Xbox Series X",2021-07-09,81,8.2,90,211,Capcom,JRPG,E10+,https://www.metacritic.com/game/monster-hunter-stories-2-wings-of-ruin/
Exo One,"PC, Xbox One, Xbox Series X, PlayStation 5, PlayStation 4",2021-11-18,81,7.1,19,61,Future Friends Games,Space Sim,Not Rated,https://www.metacritic.com/game/exo-one/
Ni no Kuni II: Revenant Kingdom - Prince's Edition,"Nintendo Switch, PC, Xbox One",2021-09-17,81,7.6,40,72,"Bandai Namco Games, Level 5",JRPG,T,https://www.metacritic.com/game/ni-no-kuni-ii-revenant-kingdom-princes-edition/
Age of Empires IV,PC,2021-10-28,81,7.7,90,569,Xbox Game Studios,Command RTS,T,https://www.metacritic.com/game/age-of-empires-iv/
Winds of Change,"PC, Nintendo Switch",2021-06-03,81,8.3,7,20,Crunching Koalas,Visual Novel,Not Rated,https://www.metacritic.com/game/winds-of-change/
Atelier Ryza 2: Lost Legends & the Secret Fairy,"Nintendo Switch, PC, PlayStation 4, PlayStation 5",2021-01-26,81,7.6,29,75,Koei Tecmo Games,JRPG,T,https://www.metacritic.com/game/atelier-ryza-2-lost-legends-and-the-secret-fairy/
Kena: Bridge of Spirits,"PlayStation 5, PC, PlayStation 4, Xbox One, Xbox Series X",2021-09-21,81,8.2,86,1732,"Emberlab, Maximum Games, H2 Interactive Co., Ltd.",Action Adventure,T,https://www.metacritic.com/game/kena-bridge-of-spirits/
Old World,PC,2021-07-01,80,7.3,9,92,"Mohawk Games, Hooded Horse",4X Strategy,Not Rated,https://www.metacritic.com/game/old-world/
Dark Deity,"PC, Nintendo Switch",2021-06-15,80,5.8,13,34,Freedom Games,JRPG,Not Rated,https://www.metacritic.com/game/dark-deity/
The Sims 4: Cottage Living,"PC, Xbox One, PlayStation 4",2021-07-22,80,6.6,15,13,Electronic Arts,Virtual Life,T,https://www.metacritic.com/game/the-sims-4-cottage-living/
Skul: The Hero Slayer,"PC, Xbox One, Nintendo Switch, PlayStation 4, iOS (iPhone/iPad)",2021-01-21,80,6.9,23,146,Neowiz,2D Platformer,T,https://www.metacritic.com/game/skul-the-hero-slayer/
The Artful Escape,"PC, Xbox One, iOS (iPhone/iPad), Xbox Series X, PlayStation 5, PlayStation 4, Nintendo Switch",2021-09-09,80,7.5,36,136,Annapurna Interactive,Adventure,E10+,https://www.metacritic.com/game/the-artful-escape/
F.I.S.T.: Forged In Shadow Torch,"PlayStation 4, PC, PlayStation 5, Nintendo Switch, Xbox Series X",2021-09-07,80,7.6,35,218,"bilibili, Microids, Game Source Entertainment, Shanghai Hode Information Technology Co.,Ltd.",Metroidvania,E10+,https://www.metacritic.com/game/fist-forged-in-shadow-torch/
Ys IX: Monstrum Nox,"PlayStation 4, Nintendo Switch, PC, PlayStation 5",2021-02-02,80,7.8,48,149,"NIS America, Falcom, Konami, Clouded Leopard Entertainment",Action RPG,T,https://www.metacritic.com/game/ys-ix-monstrum-nox/
Marvel's Guardians of the Galaxy,"PlayStation 5, PlayStation 4, PC, Xbox Series X, Xbox One, Nintendo Switch",2021-10-26,80,8.4,105,2468,Square Enix,Linear Action Adventure,T,https://www.metacritic.com/game/marvels-guardians-of-the-galaxy/
Impostor Factory,PC,2021-09-30,80,7.9,14,74,Freebird Games,Adventure,Not Rated,https://www.metacritic.com/game/impostor-factory/
Saviors of Sapphire Wings & Stranger of Sword City Revisited,"PC, Nintendo Switch",2021-03-16,80,6.4,14,8,NIS America,Compilation,T,https://www.metacritic.com/game/saviors-of-sapphire-wings-and-stranger-of-sword/
Dandy Ace,"PC, Nintendo Switch, PlayStation 4, Xbox One",2021-03-25,80,7.2,12,25,Neowiz,Action RPG,Not Rated,https://www.metacritic.com/game/dandy-ace/
A Little Golf Journey,"Nintendo Switch, PC",2021-10-14,80,6.0,12,5,"Playtonic Friends, Playtonic Games",Golf,E,https://www.metacritic.com/game/a-little-golf-journey/
NEO: The World Ends with You,"Nintendo Switch, PlayStation 4, PC",2021-07-27,80,7.9,60,175,Square Enix,Action RPG,T,https://www.metacritic.com/game/neo-the-world-ends-with-you/
Ruined King: A League of Legends Story,"PC, PlayStation 4, Xbox One, Nintendo Switch, PlayStation 5, Xbox Series X",2021-11-16,80,7.5,29,169,Riot Forge,RPG,T,https://www.metacritic.com/game/ruined-king-a-league-of-legends-story/
Blaster Master Zero III,"Nintendo Switch, PlayStation 4, PC, Xbox One",2021-07-29,80,7.6,10,14,"Inti Creates, Limited Run Games",Action Adventure,E10+,https://www.metacritic.com/game/blaster-master-zero-iii/
Capcom Arcade Stadium,"Nintendo Switch, PlayStation 4, Xbox One, PC",2021-02-17,80,7.0,34,25,"Capcom, Limited Run Games",Compilation,T,https://www.metacritic.com/game/capcom-arcade-stadium/
